PG.ProteinGroups,PG.Genes
Q8IU85,CAMK1D
Q8IUX7,AEBP1
Q8IXM2,BAP18
Q8IY81,FTSJ3
Q8IYU8,MICU2
Q8IZ40,RCOR2
Q8IZL9,CDK20
Q8N165,PDIK1L
Q8N4Q1,CHCHD4
Q8N573,OXR1
Q8N5K1,CISD2
Q8N5T2,TBC1D19
Q8NBL1,POGLUT1
Q8NCY6,MSANTD4
Q8NE86,MCU
Q8NFH4,NUP37
Q8TAP4,LMO3
Q8TAT6,NPLOC4
Q8TCB7,METTL6
Q8TDZ2,MICAL1
Q8TET4,GANC
Q8WVB6,CHTF18
Q8WVV9,HNRNPLL
Q8WX93,PALLD
Q8WXX5,DNAJC9
Q92665,MRPS31
Q92947,GCDH
Q92973,TNPO1
Q969E2,SCAMP4
Q969S9,GFM2
Q96A05,ATP6V1E2
Q96A73,KIAA1191
Q96AN5,TMEM143
Q96BR5,COA7
Q96BW5,PTER
Q96D09,GPRASP2
Q96ER9,CCDC51
Q96EY8,MMAB
Q96FX7,TRMT61A
Q96GM8,TOE1
Q96H20,SNF8
Q96HD1,CRELD1
Q96LB3,IFT74
Q96NT0,CCDC115
Q96P48,ARAP1
Q99470,SDF2
Q99547,MPHOSPH6
Q99622,C12orf57
Q99661,KIF2C
Q99962,SH3GL2
Q9BS92,NIPSNAP3B
Q9BTV7,CABLES2
Q9BUT1,BDH2
Q9BV23,ABHD6
Q9BVJ6,UTP14A
Q9BW92,TARS2
Q9BX10,GTPBP2
Q9BXB5,OSBPL10
Q9BXP2,SLC12A9
Q9BZ23,PANK2
Q9BZQ4,NMNAT2
Q9GZV3,SLC5A7
Q9H0U3,MAGT1
Q9H0U4,RAB1B
Q9H0W9,C11orf54
Q9H2T7,RANBP17
Q9H330,TMEM245
Q9H336,CRISPLD1
Q9H479,FN3K
Q9H9B4,SFXN1
Q9H9F9,ACTR5
Q9H9P8,L2HGDH
Q9HB90,RRAGC
Q9HD23,MRS2
Q9NQ84,GPRC5C
Q9NR45,NANS
Q9NRN9,METTL5
Q9NSE4,IARS2
Q9NTK5,OLA1
Q9NUU7,DDX19A
Q9NVH1,DNAJC11
Q9NVS9,PNPO
Q9NW15,ANO10
Q9NWX5,ASB6
Q9NY35,CLDND1
Q9NY61,AATF
Q9NYP7,ELOVL5
Q9NZ45,CISD1
Q9NZD8,SPG21
Q9NZW5,MPP6
Q9P0L0,VAPA
Q9P0V3,SH3BP4
Q9P1U1,ACTR3B
Q9P281,BAHCC1
Q9UBS4,DNAJB11
Q9UF33,EPHA6
Q9UGK8,SERGEF
Q9UHA4,LAMTOR3
Q9UHD1,CHORDC1
Q9UHD2,TBK1
Q9UHG2,PCSK1N
Q9UI15,TAGLN3
Q9UJT9,FBXL7
Q9UJX5,ANAPC4
Q9UK76,JPT1
Q9UL63,MKLN1
Q9UM11,FZR1
Q9UN81,L1RE1
Q9UNP9,PPIE
Q9UPR3,SMG5
Q9Y287,ITM2B
Q9Y2L9,LRCH1
Q9Y2P8,RCL1
Q9Y2R9,MRPS7
Q9Y3B7,MRPL11
Q9Y3C4,TPRKB
Q9Y3D8,AK6
Q9Y530,OARD1
Q9Y679,AUP1
Q9Y6X2,PIAS3
